ID,Longitude,Latitude,Label,Description,Type,Floor
234,-79.24683811,43.11937259,,,T,3
235,-79.24683772,43.11935587,,,T,3
236,-79.24687903,43.1193557,,,T,3
237,-79.2472406,43.11935406,,,T,3
238,-79.2474633,43.11919174,,,T,3
239,-79.24763639,43.1193211,,,T,3
240,-79.24729624,43.11932159,,,T,3
241,-79.24750145,43.1194671,,,T,3
242,-79.24720322,43.11935488,,,T,3
243,-79.24677857,43.12006067,,,T,3
244,-79.24686142,43.12006956,,,S,0
245,-79.24613267,43.12028412,,,T,2
246,-79.24618618,43.12032119,,,S,0
247,-79.24613064,43.12017223,,,T,2
248,-79.24648486,43.12017404,,,T,2
249,-79.24639997,43.12007995,,,S,0
250,-79.24631531,43.12005836,,,T,3
251,-79.24678132,43.11931183,,,T,3
252,-79.24661765,43.11919133,,,T,3
253,-79.24645926,43.11931028,,,T,3
254,-79.24640539,43.11935389,,,T,3
255,-79.24635843,43.11935537,,,T,3
256,-79.24603561,43.11935303,,,T,3
257,-79.24602715,43.11932187,,,T,3
258,-79.24604655,43.1193005,,,T,3
259,-79.246297,43.11929792,,,T,3
260,-79.24629876,43.11935663,,,T,3
261,-79.24577176,43.11914292,,,T,3
262,-79.24558092,43.11927578,,,T,3
263,-79.24555676,43.11929588,,,T,3
264,-79.24584032,43.11949825,,,T,3
265,-79.24576823,43.11956699,,,T,3
266,-79.2457245,43.11959053,,,T,3
267,-79.24565768,43.11959086,,,T,3
268,-79.24563284,43.11957438,,,T,3
269,-79.2455213,43.11968337,,,T,3
270,-79.24542324,43.11961257,,,T,3
271,-79.24542324,43.11957446,,,T,3
272,-79.24555247,43.11947616,,,T,3
273,-79.24569289,43.11951818,,,T,3
274,-79.24567371,43.11953433,,,T,3
275,-79.24555631,43.11970967,,,T,3
276,-79.24620582,43.11984051,,,T,3
277,-79.24617737,43.11985616,,,T,3
278,-79.24615909,43.11981167,,,S,0
279,-79.24586921,43.11985551,,,T,3
280,-79.24568409,43.11985386,,,T,3
281,-79.24568522,43.11993147,,,T,3
282,-79.24565948,43.11993213,,,S,0
